Civilian_Casualties,Count_of_Persons_Rescued,Estimated_Dollar_Loss,Estimated_Number_Of_Persons_Displaced,Fire_Alarm_System_Impact_on_Evacuation,Fire_Alarm_System_Operation,Fire_Alarm_System_Presence,Fire_Under_Control_Time,Ignition_Source,Last_TFS_Unit_Clear_Time,Latitude,Longitude,Possible_Cause,Property_Use,TFS_Alarm_Time,TFS_Arrival_Time
1,0,15000,3,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2014-05-16T09:36:00,"Stove, Range-top burner",2014-05-16T10:05:16,43.76417,-79.46302,Unattended,Detached/Semi/Attached with Accessory Apartment Below Grade,2014-05-16T09:25:58,2014-05-16T09:32:07
0,0,0,10,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Fire alarm system present,2015-02-10T11:59:00,Central Heating/Cooling Unit,2015-02-10T12:51:01,43.63598,-79.42813,Mechanical Failure,Multi-Unit Dwelling - 7 to 12 Units,2015-02-10T11:50:40,2015-02-10T11:58:07
0,0,25,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2015-02-10T17:45:00,Flue Pipe,2015-02-10T18:12:59,43.67824,-79.31886,"Routine maintenance deficiency, eg creosote, lint, grease buildup",Detached Dwelling,2015-02-10T17:35:29,2015-02-10T17:41:58
0,0,5000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2013-06-08T16:23:00,Washing Machine,2013-06-08T16:44:56,43.7708,-79.21431,Electrical Failure,Detached Dwelling,2013-06-08T16:15:15,2013-06-08T16:19:53
0,0,0,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2013-06-08T19:37:19,Oven,2013-06-08T20:02:20,43.65904,-79.48058,"Other unintentional cause, not classified",Semi-Detached Dwelling,2013-06-08T19:34:49,2013-06-08T19:37:19
0,0,300000,3,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2015-07-14T12:30:03,Undetermined,2015-07-14T18:26:07,43.67947,-79.52449,Undetermined,Detached Dwelling,2015-07-14T10:59:47,2015-07-14T11:04:54
0,0,700000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2016-01-04T10:59:59,Circuit Wiring - Copper,2016-01-05T16:59:52,43.66242,-79.37672,Electrical Failure,Detached Dwelling,2016-01-04T05:17:54,2016-01-04T05:22:47
0,0,500000,1,Undetermined,Fire alarm system operation undetermined,Undetermined,2011-12-06T15:15:00,Undetermined,2011-12-08T10:36:51,43.73199,-79.37211,Undetermined,Detached Dwelling,2011-12-06T13:00:59,2011-12-06T13:05:52
0,0,250000,997,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Fire alarm system present,2016-05-23T11:10:00,Undetermined,2016-05-23T16:08:16,43.64956,-79.42812,Undetermined,Detached Garage,2016-05-23T10:35:45,2016-05-23T10:40:04
2,0,100000,10,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2011-12-08T14:48:59,Undetermined,2011-12-09T10:26:17,43.70439,-79.29642,Improper handling of ignition source or ignited material,Multi-Unit Dwelling - Over 12 Units,2011-12-08T13:54:06,2011-12-08T14:01:04
1,0,1000,3,Undetermined,Fire alarm system did not operate,Fire alarm system present,2014-05-18T14:41:00,"Stove, Range-top burner",2014-05-18T15:29:10,43.81198,-79.22676,"Other unintentional cause, not classified",Multi-Unit Dwelling - Over 12 Units,2014-05-18T14:32:25,2014-05-18T14:38:28
0,0,5000,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2017-01-19T16:05:37,"Other Cooking Items (eg Toaster, Kettle, elec frying pan)",2017-01-19T16:47:48,43.73813,-79.24157,Undetermined,"Seniors long term care facility, licensed",2017-01-19T15:56:54,2017-01-19T16:00:20
0,0,1500,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2017-07-02T15:20:00,"Blow Torch, Bunsen Burner",2017-07-02T16:02:03,43.68094,-79.34695,"Other unintentional cause, not classified",Detached Dwelling,2017-07-02T15:08:52,2017-07-02T15:13:14
0,0,1000,0,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),No Fire alarm system,2016-11-23T10:05:13,"Terminations-Copper (incl receptacles, switches, lights)",2016-11-23T11:17:52,43.80805,-79.2342,Electrical Failure,"Laundry, Dry Cleaner (includes self-service)",2016-11-23T09:21:58,2016-11-23T09:27:26
0,0,10000,0,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2015-02-13T00:59:22,Undetermined,2015-02-13T01:53:30,43.81747,-79.21425,Undetermined,Detached Dwelling,2015-02-13T00:36:34,2015-02-13T00:44:39
0,0,60000,3,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2011-12-15T10:30:29,"Terminations-Copper (incl receptacles, switches, lights)",2011-12-16T13:01:49,43.78259,-79.15339,Electrical Failure,Detached Dwelling,2011-12-15T09:20:34,2011-12-15T09:23:24
0,0,2000000,997,Undetermined,Fire alarm system operation undetermined,Undetermined,2014-12-26T03:00:00,Undetermined,2014-12-28T16:27:02,43.67364,-79.39614,Undetermined,"Apartment, Flat, Tenement with Business",2014-12-25T19:23:56,2014-12-25T19:28:00
1,0,300000,997,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2013-03-10T21:23:12,Undetermined,2013-03-11T16:50:32,43.6686,-79.45877,Undetermined,"Attached Dwelling (eg. rowhouse, townhouse, etc.)",2013-03-10T19:03:51,2013-03-10T19:09:02
0,0,900000,997,Undetermined,Fire alarm system operation undetermined,Undetermined,2013-03-15T05:13:26,Undetermined,2013-03-15T18:28:32,43.69634,-79.47309,Undetermined,Other Mercantile,2013-03-15T02:23:33,2013-03-15T02:29:57
0,0,800000,7,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operation undetermined,Undetermined,2014-12-31T21:29:16,Wood burning stove,2015-01-01T15:06:45,43.70809,-79.40365,Design/Construction/Installation/Maintenance Deficiency,Semi-Detached Dwelling,2014-12-31T18:46:47,2014-12-31T18:48:18
1,0,500000,0,Undetermined,Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2015-01-01T10:47:30,Undetermined,2015-01-02T15:49:03,43.76084,-79.3396,Undetermined,Detached Dwelling,2015-01-01T06:49:40,2015-01-01T06:55:41
0,0,2000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2014-05-19T23:46:00,Fireworks,2014-05-20T00:28:42,43.73765,-79.57836,Improperly Discarded,Semi-Detached Dwelling,2014-05-19T23:40:42,2014-05-19T23:45:44
0,0,600,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2014-05-20T04:14:00,"Stove, Range-top burner",2014-05-20T04:45:06,43.69708,-79.55921,Improper handling of ignition source or ignited material,Detached Dwelling,2014-05-20T04:06:15,2014-05-20T04:12:33
0,0,50,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2014-05-20T09:51:30,"Stove, Range-top burner",2014-05-20T10:16:14,43.69361,-79.45968,Improper handling of ignition source or ignited material,Detached Dwelling,2014-05-20T09:47:05,2014-05-20T09:51:23
0,0,15,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Fire alarm system present,2014-05-20T22:35:52,Fireworks,2014-05-20T22:58:32,43.67634,-79.57041,Other misuse of ignition source/material ignited,Multi-Unit Dwelling - Over 12 Units,2014-05-20T22:23:51,2014-05-20T22:29:38
0,0,500000,0,Undetermined,Fire alarm system operation undetermined,Undetermined,2015-01-02T05:49:32,Undetermined,2015-01-02T16:12:12,43.68316,-79.47639,Undetermined,"Sto: Warehouse, variety of items, not classified by codes",2015-01-02T03:55:25,2015-01-02T04:02:03
0,0,1000000,0,Undetermined,Fire alarm system operation undetermined,Undetermined,2013-03-29T06:00:00,Other,2013-03-30T14:14:11,43.75795,-79.26745,Undetermined,Motor Vehicle Repair Garage,2013-03-29T02:52:45,2013-03-29T02:56:52
1,0,300000,997,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operation undetermined,Undetermined,2014-03-25T14:36:54,Undetermined,2014-03-26T13:36:49,43.69548,-79.5073,Undetermined,"Attached Dwelling (eg. rowhouse, townhouse, etc.)",2014-03-25T12:14:21,2014-03-25T12:21:18
0,0,500000,3,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operated,Undetermined,2015-01-05T19:48:47,Undetermined,2015-01-06T07:45:26,43.73183,-79.39592,Undetermined,Detached Dwelling,2015-01-05T18:31:57,2015-01-05T18:37:25
0,0,1000,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Undetermined,2013-06-12T01:30:00,Circuit Wiring - Copper,2013-06-12T02:10:47,43.79548,-79.41942,Electrical Failure,"Bar, Tavern, Night Club",2013-06-12T01:18:25,2013-06-12T01:25:03
1,0,5000,3,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2016-02-11T21:12:00,"Distribution Equipment (includes panel boards, fuses, circuit br",2016-02-11T21:31:29,43.68825,-79.33739,Electrical Failure,Detached Dwelling,2016-02-11T21:06:30,2016-02-11T21:09:54
0,0,5000,3,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2014-05-21T08:02:35,"Stove, Range-top burner",2014-05-21T08:32:39,43.73536,-79.56139,Unattended,"Attached Dwelling (eg. rowhouse, townhouse, etc.)",2014-05-21T07:51:05,2014-05-21T07:59:12
0,0,0,0,Undetermined,Fire alarm system did not operate,Fire alarm system present,2014-05-22T04:57:49,Undetermined,2014-05-22T05:15:35,43.69615,-79.29157,Other misuse of ignition source/material ignited,"Apartment, Flat, Tenement with Business",2014-05-22T04:43:47,2014-05-22T04:51:08
0,0,1000000,997,"Not applicable: No fire alarm system, no persons present",Fire alarm system did not operate,Fire alarm system present,2012-01-10T12:00:00,Undetermined,2012-01-20T22:00:10,43.66758,-79.45833,Undetermined,"Sto: Warehouse, variety of items, not classified by codes",2012-01-09T06:11:50,2012-01-09T06:18:48
0,0,150000,0,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2013-04-13T14:02:15,Circuit Wiring - Copper,2013-04-13T16:20:34,43.81458,-79.29222,Electrical Failure,Mall - public area common to multi store facility,2013-04-13T13:22:13,2013-04-13T13:28:08
0,0,500000,997,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2014-04-09T09:44:26,Undetermined,2014-04-10T06:02:19,43.66632,-79.45275,Undetermined,"Attached Dwelling (eg. rowhouse, townhouse, etc.)",2014-04-09T07:53:27,2014-04-09T07:57:28
0,0,75000,30,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),No Fire alarm system,2012-01-29T13:10:00,Other Mechanical,2012-01-30T16:03:22,43.76256,-79.5561,Design/Construction/Installation/Maintenance Deficiency,Mfg: Other Chemical/Petroleum/Paint/Plastic Products,2012-01-29T12:51:20,2012-01-29T12:59:52
0,0,500000,2,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2014-04-19T10:54:56,Vehicle - Mechanical,2014-04-19T17:58:07,43.78457,-79.17117,Undetermined,"Attached Dwelling (eg. rowhouse, townhouse, etc.)",2014-04-19T10:14:38,2014-04-19T10:19:04
1,0,1000,2,Undetermined,Fire alarm system operation undetermined,No Fire alarm system,2013-06-15T12:53:11,"Cord, Cable for Appliance, Electrical Articles",2013-06-15T13:37:24,43.6787,-79.34612,Electrical Failure,Other Mercantile,2013-06-15T12:42:59,2013-06-15T12:46:15
0,0,10000,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2013-06-15T20:45:00,Other Electrical,2013-06-15T21:14:58,43.8311,-79.25971,Electrical Failure,Motor Vehicle Repair Garage,2013-06-15T20:30:59,2013-06-15T20:36:47
0,0,0,0,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),No Fire alarm system,2017-03-07T19:38:10,Fireplace - Masonry,2017-03-07T20:19:29,43.7258,-79.50127,Improper handling of ignition source or ignited material,Detached Dwelling,2017-03-07T19:31:04,2017-03-07T19:38:10
0,0,1000,0,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2014-05-23T13:11:14,"Stove, Range-top burner",2014-05-23T13:41:41,43.64735,-79.43728,Unattended,Multi-Unit Dwelling - Over 12 Units,2014-05-23T13:01:01,2014-05-23T13:04:03
0,0,500,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2015-02-15T16:28:06,Cutting/Welding Equipment,2015-02-15T16:52:31,43.67,-79.49894,"Other unintentional cause, not classified",Detached Dwelling,2015-02-15T15:55:45,2015-02-15T16:02:37
0,0,500000,10,Undetermined,Fire alarm system operation undetermined,Undetermined,2013-05-06T15:04:52,Undetermined,2013-05-07T15:12:57,43.66544,-79.46725,Undetermined,Multi-Unit Dwelling - 7 to 12 Units,2013-05-06T14:16:47,2013-05-06T14:20:19
0,0,350000,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Fire alarm system present,2013-05-19T20:55:00,Cutting/Welding Equipment,2013-05-20T09:27:02,43.65648,-79.36051,Improper handling of ignition source or ignited material,General Business Office,2013-05-19T17:59:17,2013-05-19T18:03:44
0,0,100000,997,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2012-02-24T00:44:51,Undetermined,2012-02-24T09:20:17,43.77587,-79.17839,Undetermined,"Attached Dwelling (eg. rowhouse, townhouse, etc.)",2012-02-23T23:08:44,2012-02-23T23:14:05
0,0,100000,4,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2013-05-28T15:41:56,Wood burning stove,2013-05-29T15:23:01,43.6873,-79.26616,Design/Construction/Installation/Maintenance Deficiency,Detached Dwelling,2013-05-28T15:08:20,2013-05-28T15:12:40
0,0,20000,2,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2017-04-11T23:03:28,"Stove, Range-top burner",2017-04-11T23:39:13,43.59909,-79.51291,Unattended,Multi-Unit Dwelling - 7 to 12 Units,2017-04-11T22:30:36,2017-04-11T22:35:24
0,0,500,35,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operation undetermined,Fire alarm system present,2013-06-17T08:54:22,Undetermined,2013-06-17T10:03:44,43.80805,-79.2342,"Other unintentional cause, not classified",Mfg: Dry Cleaning Plant,2013-06-17T08:45:11,2013-06-17T08:50:48
0,0,5000,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2013-06-17T17:20:00,Clothes Dryer,2013-06-17T18:11:14,43.72689,-79.22875,"Other unintentional cause, not classified","Barber Shop, Hairdresser, Beauty Parlor, tanning salon",2013-06-17T17:10:47,2013-06-17T17:14:21
1,0,1000,4,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Not applicable (bldg not classified by OBC OR detached/semi/town home),2013-06-18T07:52:54,"Stove, Range-top burner",2013-06-18T08:19:58,43.76197,-79.51697,Unattended,Semi-Detached Dwelling,2013-06-18T07:47:39,2013-06-18T07:51:54
0,0,0,0,Undetermined,Fire alarm system operated,Fire alarm system present,2015-09-02T15:20:19,Other Mechanical,2015-09-02T16:55:22,43.7138,-79.31063,"Unintentional, cause undetermined","Mfg: Grain Products, Bakery Goods",2015-09-02T14:47:07,2015-09-02T14:51:32
0,0,1000,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2014-05-26T10:30:16,Other,2014-05-26T10:45:57,43.70865,-79.38888,Electrical Failure,General Business Office,2014-05-26T10:25:02,2014-05-26T10:30:15
2,0,300000,12,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2015-08-27T07:25:00,Undetermined,2015-08-27T18:36:16,43.65344,-79.4002,Undetermined,"Attached Dwelling (eg. rowhouse, townhouse, etc.)",2015-08-27T06:12:39,2015-08-27T06:16:49
0,0,500000,0,Undetermined,Fire alarm system operated,Fire alarm system present,2014-05-20T18:28:33,Undetermined,2014-05-20T20:44:01,43.65292,-79.37695,Electrical Failure,Public/Private Hospital,2014-05-20T17:13:48,2014-05-20T17:18:09
0,0,600000,6,Undetermined,Fire alarm system operation undetermined,Fire alarm system present,2015-02-16T16:43:09,Undetermined,2015-02-17T14:47:31,43.6749,-79.37561,Undetermined,Multi-Unit Dwelling - 2 to 6 Units,2015-02-16T12:57:27,2015-02-16T13:01:53
0,0,80000,200,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2012-03-21T15:58:26,"Stove, Range-top burner",2012-03-21T18:55:02,43.79433,-79.32597,"Other unintentional cause, not classified",Multi-Unit Dwelling - Over 12 Units,2012-03-21T15:19:46,2012-03-21T15:24:24
0,0,300,0,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2012-03-24T20:11:00,Undetermined,2012-03-24T21:24:54,43.70866,-79.47806,Undetermined,Multi-Unit Dwelling - Over 12 Units,2012-03-24T20:03:18,2012-03-24T20:05:42
0,0,5000,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operated,Fire alarm system present,2014-05-26T16:16:25,Range Hood,2014-05-26T17:09:51,43.79961,-79.3703,"Routine maintenance deficiency, eg creosote, lint, grease buildup",Restaurant (occupant load less than 30 persons),2014-05-26T15:50:02,2014-05-26T15:55:12
0,0,20,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Fire alarm system present,2014-05-26T18:55:13,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2014-05-26T19:11:58,43.69927,-79.31868,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,2014-05-26T18:52:20,2014-05-26T18:55:12
0,0,0,2,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2013-06-18T17:33:10,Oven,2013-06-18T17:58:37,43.66358,-79.46609,"Other unintentional cause, not classified",Detached Dwelling,2013-06-18T17:26:12,2013-06-18T17:29:55
0,0,100,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2016-06-17T18:00:20,Undetermined,2016-06-17T18:13:48,43.79915,-79.33933,Improperly Discarded,"Attached Dwelling (eg. rowhouse, townhouse, etc.)",2016-06-17T17:50:08,2016-06-17T17:54:42
0,0,500,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2016-06-17T19:02:41,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2016-06-17T19:24:22,43.66551,-79.47327,Improperly Discarded,Semi-Detached Dwelling,2016-06-17T18:54:07,2016-06-17T18:57:43
0,0,20000,0,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2015-09-05T15:52:42,"Hot Ashes, Embers, Spark",2015-09-05T17:54:43,43.66892,-79.44265,"Other unintentional cause, not classified","Sto: Other Wood, Furniture, Paper Products, Printing",2015-09-05T15:05:32,2015-09-05T15:08:28
0,0,1000000,0,Undetermined,Fire alarm system operation undetermined,Undetermined,2015-09-06T00:00:01,Undetermined,2015-09-07T07:08:04,43.68804,-79.5761,Undetermined,Motor Vehicle Repair Garage,2015-09-05T21:11:02,2015-09-05T21:16:30
0,0,400000,0,Undetermined,Fire alarm system operation undetermined,Undetermined,2013-07-06T14:37:13,"Hot Ashes, Embers, Spark",2013-07-06T19:41:15,43.71666,-79.57848,"Other unintentional cause, not classified",Motor Vehicle Repair Garage,2013-07-06T13:32:06,2013-07-06T13:36:08
0,0,1000000,6,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2016-02-18T05:15:17,Undetermined,2016-02-18T20:53:30,43.71694,-79.3936,Undetermined,Detached Dwelling,2016-02-18T04:26:13,2016-02-18T04:32:26
0,0,500000,0,Undetermined,Fire alarm system operation undetermined,Undetermined,2015-02-23T08:10:00,Undetermined,2015-02-23T17:17:04,43.8236,-79.28205,Undetermined,Detached Dwelling,2015-02-23T05:43:32,2015-02-23T05:50:15
0,0,0,0,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2016-11-25T20:08:00,"Stove, Range-top burner",2016-11-25T20:15:11,43.67556,-79.42309,"Unintentional, cause undetermined",Detached Dwelling,2016-11-25T19:59:52,2016-11-25T20:04:14
1,0,500,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2016-11-26T07:21:44,"Stove, Range-top burner",2016-11-26T08:00:53,43.67023,-79.4356,"Other unintentional cause, not classified",Detached Dwelling,2016-11-26T07:15:19,2016-11-26T07:19:42
0,0,0,0,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2014-05-27T19:57:22,Undetermined,2014-05-27T20:44:25,43.64084,-79.43541,Undetermined,Multi-Unit Dwelling - Over 12 Units,2014-05-27T19:44:20,2014-05-27T19:48:49
0,0,500,0,"Not applicable: No fire alarm system, no persons present",Fire alarm system operation undetermined,Undetermined,2014-05-28T02:22:33,Circuit Wiring - Copper,2014-05-28T03:23:08,43.59567,-79.5283,Electrical Failure,"Apartment, Flat, Tenement with Business",2014-05-28T02:16:50,2014-05-28T02:21:33
0,0,0,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2017-07-03T11:45:00,Wood burning stove,2017-07-03T11:54:48,43.64108,-79.44702,Used for purpose not intended,Detached Dwelling,2017-07-03T10:33:49,2017-07-03T10:38:03
0,0,5000,0,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2015-09-03T18:15:30,Service/Utility Lines (includes power/hydro transmission lines),2015-09-03T19:30:25,43.63054,-79.49904,"Other unintentional cause, not classified",Detached Dwelling,2015-09-03T18:11:23,2015-09-03T18:15:27
0,0,250000,0,Undetermined,Fire alarm system operation undetermined,Fire alarm system present,2012-04-14T07:41:41,Circuit Wiring - Copper,2012-04-14T10:19:37,43.65868,-79.46923,Electrical Failure,Detached Dwelling,2012-04-14T06:09:18,2012-04-14T06:13:51
0,0,75000,2,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2016-06-22T19:30:59,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2016-06-22T23:13:59,43.6593,-79.40248,Improperly Discarded,Semi-Detached Dwelling,2016-06-22T18:43:22,2016-06-22T18:45:45
0,0,100000,30,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2017-08-29T17:24:00,Other Mechanical,2017-08-29T18:18:50,43.69471,-79.50638,"Routine maintenance deficiency, eg creosote, lint, grease buildup","Mfg: Other Wood, Furniture, Paper Products, Printing",2017-08-29T14:15:41,2017-08-29T14:20:50
0,0,50000,0,"Not applicable: No fire alarm system, no persons present",Fire alarm system operation undetermined,Undetermined,2017-08-29T16:46:28,Undetermined,2017-08-29T20:57:41,43.7039,-79.49881,Undetermined,School - Elementary,2017-08-29T15:19:43,2017-08-29T15:24:02
0,0,300,0,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),No Fire alarm system,2013-06-22T18:55:17,Open Fired Barbeque - Fixed or Portable,2013-06-22T19:21:59,43.76422,-79.51224,"Other unintentional cause, not classified",Semi-Detached Dwelling,2013-06-22T18:45:58,2013-06-22T18:50:49
0,0,3500,3,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2015-09-04T01:52:03,"Television, Radio, Stereo, Tape Recorder, etc.",2015-09-04T02:31:08,43.65712,-79.40453,Electrical Failure,Multi-Unit Dwelling - Over 12 Units,2015-09-04T01:48:17,2015-09-04T01:52:02
0,0,10000,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operation undetermined,Fire alarm system present,2014-05-29T06:20:28,Other,2014-05-29T07:42:09,43.77579,-79.49118,"Other unintentional cause, not classified","Secondary Products (eg. finished goods, furniture, etc.)",2014-05-29T06:05:42,2014-05-29T06:11:09
0,0,500,1,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2014-05-29T22:10:37,Clothes Dryer,2014-05-29T22:59:11,43.7776,-79.39689,"Routine maintenance deficiency, eg creosote, lint, grease buildup",Detached Dwelling,2014-05-29T22:01:59,2014-05-29T22:07:38
0,0,3000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2017-01-21T14:32:36,"Stove, Range-top burner",2017-01-21T15:04:59,43.72765,-79.54954,Unattended,"Attached Dwelling (eg. rowhouse, townhouse, etc.)",2017-01-21T14:22:40,2017-01-21T14:30:27
0,0,500,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operation undetermined,Fire alarm system present,2015-09-04T17:11:00,Undetermined,2015-09-04T17:43:27,43.66385,-79.40241,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,2015-09-04T16:49:48,2015-09-04T16:55:08
0,0,2000,0,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2013-06-25T05:00:00,Other,2013-06-25T05:36:35,43.71082,-79.24722,Improperly Discarded,Detached Dwelling,2013-06-25T04:45:55,2013-06-25T04:53:34
0,0,15000,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Fire alarm system present,2015-09-05T01:59:14,"Chemical Reaction (eg. spontaneous combustion, etc.)",2015-09-05T02:36:53,43.69379,-79.3971,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,2015-09-05T01:43:35,2015-09-05T01:48:37
0,0,50000,4,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2015-09-06T03:08:05,"Stove, Range-top burner",2015-09-06T03:39:22,43.66661,-79.46863,"Other unintentional cause, not classified","Apartment, Flat, Tenement with Business",2015-09-06T02:44:51,2015-09-06T02:49:39
0,0,500,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system did not operate,Fire alarm system present,2017-07-22T01:44:16,"Refrigerator, Freezer (includes vending machine)",2017-07-22T02:02:28,43.70427,-79.37462,Electrical Failure,"Supermarket, Grocery Store",2017-07-22T01:24:56,2017-07-22T01:30:26
1,0,250000,4,Undetermined,Fire alarm system operation undetermined,Undetermined,2017-09-14T20:09:47,Undetermined,2017-09-15T19:18:03,43.76799,-79.42299,"Other unintentional cause, not classified",Detached Dwelling,2017-09-14T19:42:30,2017-09-14T19:46:22
0,0,200000,0,Undetermined,Fire alarm system operation undetermined,Undetermined,2017-09-18T06:00:00,Undetermined,2017-09-18T19:39:34,43.73787,-79.28765,"Unintentional, cause undetermined",General Business Office,2017-09-18T02:25:42,2017-09-18T02:31:25
